index,building_id,address,country,metro_area,slug,exchanges,geometry,index_right,LGA_CODE25,LGA_NAME25,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM
103,16966,"['148 Brunswick Street' 'Fortitude Valley, QLD, Australia']",australia,brisbane-qld,148-brunswick-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/pipeix-locations.php#qld"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 325, ""address"": [ ""PipeIX Brisbane (Brisbane, QLD, Australia)"", ""148 Brunswick Street"", ""Fortitude Valley, Australia, 4006"" ], ""slug"": ""pipeix-brisbane-brisbane-qld-australia"", ""telephone"": ""+61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" }, { ""url"": ""https:\/\/www.ix.asn.au\/peering\/"", ""members_url"": ""https:\/\/www.waia.asn.au\/ix\/participants"", ""address"": [ ""QLD-IX (Brisbane, QLD, Australia)"", ""148 Brunswick Street"", ""Fortitude Valley, Australia, 4006"" ], ""slug"": ""qld-ix-brisbane-qld-australia"", ""telephone"": ""61 8 9322 3022"", ""email"": ""peering@ix.asn.au"", ""date_online"": ""August 2011"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""148 Brunswick Street"", ""Fortitude Valley, Australia, 4006"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2044316.541440655 -3146533.906316503),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
130,23453,"['17 Roberts Rd' 'Eastern Creek, NSW, Australia']",australia,sydney-nsw,17-roberts-rd,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""17 Roberts Rd"", ""Eastern Creek, Australia"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (1728042.525664368 -3818101.922519827),9,10750,Blacktown,1,New South Wales,AUS,Australia,238.8471
133,19327,"['17-23 Talavera Road' 'Macquarie Park NSW' 'Sydney, NSW, Australia']",australia,sydney-nsw,17-23-talavera-road,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""17-23 Talavera Road"", ""Macquarie Park NSW"", ""Sydney, Australia, 2113"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (1755082.192944945 -3817963.2388575715),97,16700,Ryde,1,New South Wales,AUS,Australia,40.4746
137,19885,"['176 Swann Drive' 'Derrimut' 'Melbourne, VIC, Australia']",australia,melbourne-vic,176-swann-drive,"[ { ""contact_one_email"": ""sales@equinix.com"", ""url"": ""https:\/\/ix.equinix.com"", ""address"": [ ""EQIX-MEL (Melbourne, VIC, Australia)"", ""176 Swann Drive"", ""Derrimut"", ""Melbourne, Australia"" ], ""slug"": ""eqix-mel-melbourne-vic-australia"", ""telephone"": ""65 6723 8833"", ""email"": ""support@equinix.com"", ""date_online"": ""June 2001"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Melbourne (Melbourne, VIC, Australia)"", ""176 Swann Drive"", ""Derrimut"", ""Melbourne, Australia"" ], ""slug"": ""megaix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (1129722.5361769267 -4188962.9223702704),140,21180,Brimbank,2,Victoria,AUS,Australia,123.3991
142,20786,"['180 Burnley Street' 'Richmond, QLD, Australia']",australia,melbourne-vic,180-burnley-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 328, ""address"": [ ""PipeIX Melbourne (Melbourne, VIC, Australia)"", ""180 Burnley Street"", ""Richmond, Australia"" ], ""slug"": ""pipeix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1150414.5802429505 -4193089.7245652196),207,27350,Yarra,2,Victoria,AUS,Australia,19.5421
150,18975,"['19 Battye St' 'Bruce' 'Canberra, ACT, Australia']",australia,canberra-act,19-battye-st,"[ { ""url"": ""http:\/\/www.ix.asn.au"", ""address"": [ ""ACT-IX (Canberra, ACT, Australia)"", ""19 Battye St"", ""Bruce"", ""Canberra, Australia"" ], ""slug"": ""act-ix-canberra-act-australia"", ""email"": ""peering@ix.asn.au"" } ]",POINT (1548049.6652071427 -3953239.992807449),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133
151,21013,"['19 McKechnie Drive' 'Brisbane, QLD, Australia']",australia,brisbane-qld,19-mckechnie-drive,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""19 McKechnie Drive"", ""Brisbane, Australia"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2048215.1771962596 -3161129.4458064884),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
153,16710,"['190 City Road' 'Melbourne, VIC, Australia']",australia,melbourne-vic,190-city-road,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 328, ""address"": [ ""PipeIX Melbourne (Melbourne, VIC, Australia)"", ""190 City Road"", ""Melbourne, Australia, 3025"" ], ""slug"": ""pipeix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1146201.9482434688 -4193285.037019677),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452
164,21016,"['2 Cycas Lane' 'Brisbane, QLD, Australia']",australia,brisbane-qld,2-cycas-lane,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""2 Cycas Lane"", ""Brisbane, Australia"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2037852.2583742556 -3138835.015886116),259,35010,Moreton Bay,3,Queensland,AUS,Australia,2041.4737
175,16579,"['20 Wharf Street' 'Brisbane, QLD, Australia']",australia,brisbane-qld,20-wharf-street,"[ { ""url"": ""https:\/\/www.ix.asn.au\/peering\/"", ""members_url"": ""https:\/\/www.waia.asn.au\/ix\/participants"", ""address"": [ ""QLD-IX (Brisbane, QLD, Australia)"", ""20 Wharf Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""qld-ix-brisbane-qld-australia"", ""telephone"": ""61 8 9322 3022"", ""email"": ""peering@ix.asn.au"", ""date_online"": ""August 2011"" }, { ""url"": ""https:\/\/connectedix.com\/"", ""address"": [ ""CON-IX Brisbane (Brisbane, QLD, Australia)"", ""20 Wharf Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""con-ix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 2 8319 9498"", ""email"": ""helpdesk@connectedix.com"" }, { ""url"": ""https:\/\/www.edgeix.net\/"", ""address"": [ ""EdgeIX Brisbane (Brisbane, QLD, Australia)"", ""20 Wharf Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""edgeix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 2 9006 9626"", ""email"": ""peering@edgeix.net"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""20 Wharf Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2043923.244045039 -3147646.0946169025),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
184,16725,"['201-207 Kent Street' 'Sydney, NSW, Australia']",australia,sydney-nsw,201-207-kent-street,"[ { ""url"": ""http:\/\/www.pipenetworks.com\/pipeix.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 329, ""address"": [ ""PipeIX Sydney (Sydney, NSW, Australia)"", ""201-207 Kent Street"", ""Sydney, Australia, 2000"" ], ""slug"": ""pipeix-sydney-sydney-nsw-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1760579.5208226936 -3828141.9467109316),105,17200,Sydney,1,New South Wales,AUS,Australia,26.6762
205,20989,"['22-36 Walsh Street' 'Melbourne, VIC, Australia']",australia,melbourne-vic,22-36-walsh-street,"[ { ""contact_one_email"": ""sales@equinix.com"", ""url"": ""https:\/\/ix.equinix.com"", ""address"": [ ""EQIX-MEL (Melbourne, VIC, Australia)"", ""22-36 Walsh Street"", ""Melbourne, Australia"" ], ""slug"": ""eqix-mel-melbourne-vic-australia"", ""telephone"": ""65 6723 8833"", ""email"": ""support@equinix.com"", ""date_online"": ""June 2001"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Melbourne (Melbourne, VIC, Australia)"", ""22-36 Walsh Street"", ""Melbourne, Australia"" ], ""slug"": ""megaix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (1145689.4794726362 -4191412.5601818636),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452
207,16661,"['221 Dryburgh Street' 'Melbourne, VIC, Australia']",australia,melbourne-vic,221-dryburgh-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 328, ""address"": [ ""PipeIX Melbourne (Melbourne, VIC, Australia)"", ""221 Dryburgh Street"", ""Melbourne, Australia, 3051"" ], ""slug"": ""pipeix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1144891.0679393557 -4190582.5138955745),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452
221,23554,"['23-25 Waterloo Rd' 'North Ryde, NSW, Australia']",australia,sydney-nsw,23-25-waterloo-rd,"[ { ""url"": ""http:\/\/www.ix.asn.au"", ""address"": [ ""NSW-IX (Sydney, NSW, Australia)"", ""23-25 Waterloo Rd"", ""North Ryde, Australia"" ], ""slug"": ""nsw-ix-sydney-nsw-australia"", ""email"": ""peering@ix.asn.au"" } ]",POINT (1755302.9677229363 -3818610.539011504),97,16700,Ryde,1,New South Wales,AUS,Australia,40.4746
234,16675,"['25 Waterloo Road' 'North Ryde, NSW, Australia']",australia,sydney-nsw,25-waterloo-road,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""25 Waterloo Road"", ""North Ryde, Australia, 2113"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" }, { ""url"": ""http:\/\/www.pipenetworks.com\/pipeix.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 329, ""address"": [ ""PipeIX Sydney (Sydney, NSW, Australia)"", ""25 Waterloo Road"", ""North Ryde, Australia, 2113"" ], ""slug"": ""pipeix-sydney-sydney-nsw-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1755286.3329824368 -3818636.841270183),97,16700,Ryde,1,New South Wales,AUS,Australia,40.4746
244,22706,"['27 Harvey Street' 'Darwin, NT, Australia']",australia,darwin-nt,27-harvey-street,"[ { ""url"": ""https:\/\/www.edgeix.net\/"", ""address"": [ ""EdgeIX Darwin (Darwin, NT, Australia)"", ""27 Harvey Street"", ""Darwin, Australia"" ], ""slug"": ""edgeix-darwin-darwin-nt-australia"", ""telephone"": ""61 2 9006 9626"", ""email"": ""peering@edgeix.net"" } ]",POINT (-128460.8295923727 -1314308.9444437455),543,71000,Darwin,7,Northern Territory,AUS,Australia,111.2614
253,15124,"['29 Elizabeth Street' 'Hobart, TAS, Australia']",australia,hobart-tas,29-elizabeth-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 327, ""address"": [ ""PipeIX Hobart (Hobart, TAS, Australia)"", ""29 Elizabeth Street"", ""Hobart, Australia, 7000"" ], ""slug"": ""pipeix-hobart-hobart-tas-australia"", ""telephone"": ""61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1288569.8270055158 -4764354.969738454),521,62810,Hobart,6,Tasmania,AUS,Australia,77.8965
287,8006,"['330 Spencer Street' 'Melbourne, VIC, Australia']",australia,melbourne-vic,330-spencer-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 328, ""address"": [ ""PipeIX Melbourne (Melbourne, VIC, Australia)"", ""330 Spencer Street"", ""Melbourne, Australia, 3003"" ], ""slug"": ""pipeix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1145447.9695569372 -4191907.9929585517),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452
294,18885,"['340 Findon Rd' 'Kidman Park, SA, Australia']",australia,adelaide-sa,340-findon-rd,"[ { ""url"": ""http:\/\/www.pipenetworks.com\/pipeix.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 324, ""address"": [ ""PipeIX Adelaide (Adelaide, SA, Australia)"", ""340 Findon Rd"", ""Kidman Park, Australia"" ], ""slug"": ""pipeix-adelaide-adelaide-sa-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Adelaide (Adelaide, SA, Australia)"", ""340 Findon Rd"", ""Kidman Park, Australia"" ], ""slug"": ""megaix-adelaide-adelaide-sa-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (594736.4571833535 -3827170.732852215),304,41060,Charles Sturt,4,South Australia,AUS,Australia,54.7876
299,15115,"['344 Queen Street' 'Brisbane, QLD, Australia']",australia,brisbane-qld,344-queen-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/pipeix-locations.php#qld"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 325, ""address"": [ ""PipeIX Brisbane (Brisbane, QLD, Australia)"", ""344 Queen Street"", ""Brisbane, Australia"" ], ""slug"": ""pipeix-brisbane-brisbane-qld-australia"", ""telephone"": ""+61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (2043866.3001907354 -3147755.941286137),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
311,16660,"['376 Flinders Street' 'Melbourne, VIC, Australia']",australia,melbourne-vic,376-flinders-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/index.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 328, ""address"": [ ""PipeIX Melbourne (Melbourne, VIC, Australia)"", ""376 Flinders Street"", ""Melbourne, Australia, 3000"" ], ""slug"": ""pipeix-melbourne-melbourne-vic-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1146277.763993955 -4192706.505541729),174,24600,Melbourne,2,Victoria,AUS,Australia,37.5452
315,16718,"['39 Herbert Street' 'St. Leonards, NSW, Australia']",australia,sydney-nsw,39-herbert-street,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""39 Herbert Street"", ""St. Leonards, Australia, 2065"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" }, { ""url"": ""http:\/\/www.pipenetworks.com\/pipeix.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 329, ""address"": [ ""PipeIX Sydney (Sydney, NSW, Australia)"", ""39 Herbert Street"", ""St. Leonards, Australia, 2065"" ], ""slug"": ""pipeix-sydney-sydney-nsw-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (1760315.2530766248 -3822709.123404605),122,18250,Willoughby,1,New South Wales,AUS,Australia,22.4257
322,18977,"['4 Eden Park Drive' 'Macquarie Park' 'Sydney, NSW, Australia']",australia,sydney-nsw,4-eden-park-drive,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""4 Eden Park Drive"", ""Macquarie Park"", ""Sydney, Australia"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" }, { ""url"": ""http:\/\/www.ix.asn.au"", ""address"": [ ""NSW-IX (Sydney, NSW, Australia)"", ""4 Eden Park Drive"", ""Macquarie Park"", ""Sydney, Australia"" ], ""slug"": ""nsw-ix-sydney-nsw-australia"", ""email"": ""peering@ix.asn.au"" }, { ""url"": ""https:\/\/connectedix.com\/"", ""address"": [ ""CON-IX Sydney (Sydney, NSW, Australia)"", ""4 Eden Park Drive"", ""Macquarie Park"", ""Sydney, Australia"" ], ""slug"": ""con-ix-sydney-sydney-nsw-australia"", ""telephone"": ""61 2 8319 9498"", ""email"": ""helpdesk@connectedix.com"" }, { ""url"": ""https:\/\/www.edgeix.net\/"", ""address"": [ ""EdgeIX Sydney (Sydney, NSW, Australia)"", ""4 Eden Park Drive"", ""Macquarie Park"", ""Sydney, Australia"" ], ""slug"": ""edgeix-sydney-sydney-nsw-australia"", ""telephone"": ""61 2 9006 9626"", ""email"": ""peering@edgeix.net"" } ]",POINT (1755270.3873864575 -3818440.0603733),97,16700,Ryde,1,New South Wales,AUS,Australia,40.4746
