OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,LENGTH_M,SHAPE_Length,From,To,from_suburb,to_suburb
11,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,13574.27979,0.125395398,Suffolk Park,Lennox Head,suffolk park,lennox head
12,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3536.876297,0.034917293,Lismore Substation,Lismore  (North),lismore,lismore
13,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,6249.465638,0.06196777,Lismore Substation,Lismore  (South),lismore,lismore
14,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,68488.60985,0.695553159,Glen Innes,Inverell,glen innes,inverell
15,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,15531.2896,0.158199109,Nyngan Solar Farm,Nyngan Solar Farm,nyngan,nyngan
16,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,19889.31993,0.189848558,Williamsdale,Googong Town,williamsdale,googong
17,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,26855.34604,0.265447399,Millingandi,Eden,millingandi,eden
18,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,17428.70562,0.175957913,Eden,Edrom,eden,edrom
19,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,48539.34126,0.464612748,Brandy Hill,Stroud,brandy hill,stroud
20,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,184120.5337,1.863952481,Narrabri,Walgett,narrabri,walgett
21,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,110,New South Wales,5,14/03/2024 0:00,4108.018668,0.040199932,Bungalora,Terranora,bungalora,terranora
22,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,23806.95636,0.225186074,Black Range,Millingandi,black range,millingandi
24,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,36970.62945,0.34502283,"Lismore ",Woodburn,lismore,woodburn
26,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,52827.6035,0.482254214,Glen innes,Guyra,glen innes,guyra
29,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,99808.89986,0.938276945,Coolatai,Goondiwindi,coolatai,goondiwindi
30,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,37381.87979,0.352175323,Coolatai,Warialda,coolatai,warialda
39,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,40711.39765,0.376595732,Warialda,Bingara,warialda,bingara
40,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,13279.67441,0.125813854,Moree,Moree Solar,moree,moree
41,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,46805.421,0.427482497,Moree Solar,Bellata,moree,bellata
42,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,58603.61158,0.55612485,Burren Junction,Merrywinebone,burren junction,nebo
43,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,127881.6726,1.312491692,Walgett,Brewarrina,walgett,brewarrina
44,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,76194.25335,0.713693743,Walgett,Lightning Ridge,walgett,lightning ridge
45,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,18470.40616,0.183963381,Maclean,Yamba,maclean,yamba
46,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,36655.35547,0.359993315,Maclean,Koolkhan,maclean,koolkhan
47,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,40150.96919,0.395403667,Maclean,Koolkhan (South East),maclean,koolkhan
50,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,33521.53512,0.321384882,South Grafton,Nymboida,south grafton,nymboida
51,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3579.989598,0.034786171,Boambee South,Sawtell,boambee,sawtell
52,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,20928.795,0.20785033,Dorrigo,Ulong,dorrigo,ulong
53,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,14823.02487,0.145496057,Ulong,Nana Glen,ulong,nana glen
54,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,20588.06934,0.209581011,Nana Glen,Woolgoolga,nana glen,woolgoolga
55,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,12517.52161,0.115816837,Coffs Harbour,nana Glen,coffs harbour,nana glen
56,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Operational,66,New South Wales,5,14/03/2024 0:00,11516.05166,0.112949255,Coffs Harbour,Coffs Harbour East,coffs harbour,coffs harbour
59,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,6039.682027,0.059624468,Boambee North,Coffs Harbour East,boambee,coffs harbour
60,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,12504.98528,0.116887771,Coffs Harbour East,Moonee Beach,coffs harbour,moonee beach
61,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,9476.520475,0.090552667,Mooneet Beach,Woolgoolga,moonee,woolgoolga
62,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,59951.62557,0.556785409,Armidale,Walcha,armidale,walcha
66,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,12894.96112,0.130569286,Gunnedah,Gunnedah -,gunnedah,gunnedah
67,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,39148.00867,0.37455352,Tamworth,Bendemeer,tamworth,bendemeer
68,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,27184.62287,0.266933829,Tamworth,Currabubula,tamworth,currabubula
69,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,29964.59887,0.280356785,Currabubula,Quirindi,currabubula,quirindi
70,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,51.892115,0.000526688,Warris Creek tee,Warris Creek tee,warri,warri
71,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,39124.49911,0.374673138,Tamworth,Duncans Creek,tamworth,duncans creek
72,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,48457.6798,0.453900922,Tamworth,Manilla,tamworth,manilla
73,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,48560.45144,0.453763594,Manilla,Barraba,manilla,barraba
74,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,38963.38265,0.35482366,Beryl,Dunedoo,beryl,dunedoo
75,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,28851.70522,0.282027159,Dunedoo,Merrygoen,dunedoo,merrygoen
76,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,65338.24973,0.602292071,Merrygoen,Coonabarabran,merrygoen,coonabarabran
77,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,90590.28306,0.838629032,Gilgandra,Coonamble,gilgandra,coonamble
78,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,59167.84208,0.540634935,Dubbo North,Gilgandra,dubbo,gilgandra
79,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,5624.288417,0.053386202,Dubbo,Dubbo North (East),dubbo,dubbo
80,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,47468.45456,0.46131838,Wellington Town,Dubbo east,wellington,dubbo east
81,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,60530.53716,0.612540012,Nevertire,Nyngan (South),nevertire,nyngan
82,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,55119.41846,0.578194406,Nyngan,Hermidale,nyngan,hermidale
83,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,75085.5609,0.786854793,Hermidale,Cobar,hermidale,cobar
84,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,79332.80024,0.760544782,Nyngan,Coolabah,nyngan,coolabah
85,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,127902.2363,1.217874539,Coolabah,Bourke,coolabah,bourke
86,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,16640.00015,0.159487351,Gunnedah Boggabri tee,Gunnedah Boggabri tee,boggabri,boggabri
89,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,8002.340014,0.082152758,Kew,laurieton,kew,laurieton
90,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,44770.76786,0.438857267,Taree,Kew,taree,kew
91,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,29525.35827,0.285444568,Hallidays Point,Taree,hallidays point,taree
93,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,11967.63613,0.111216717,Tuncurry,Hallidays Point,tuncurry,hallidays point
94,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Operational,66,New South Wales,5,14/03/2024 0:00,43591.91331,0.420869617,Taree,Tuncurry,taree,tuncurry
96,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Operational,66,New South Wales,5,14/03/2024 0:00,5113.954775,0.050478141,Forster,Tuncurry (North East),forster,tuncurry
97,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead/Underground,Operational,66,New South Wales,5,14/03/2024 0:00,5315.234415,0.052320882,Forster,Tuncurry,forster,tuncurry
101,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,31848.38891,0.32634666,Beryl,Ulan (North),beryl,ulan
102,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,28961.13585,0.301360223,Beryl,Ulan (South),beryl,ulan
103,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,5011.737385,0.05104254,Ulan,Ulan mine,ulan,ulan
104,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,1149.413772,0.011674207,Ulan mine,Ulan mine,ulan,ulan
105,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,12759.29396,0.125232504,Ulan mine,Wilpinjong Mine,ulan,wilpinjong
106,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,26063.5169,0.269100006,"Beryl ","Beryl ",beryl,beryl
107,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,53.304392,0.000480685,Beryl,"Beryl ",beryl,beryl
109,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,34066.54583,0.323705048,Mudgee,Beryl,mudgee,beryl
110,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,20715.70273,0.196759147,Wellington Town,Mumbil,wellington,mumbil
111,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,23704.02489,0.223611317,Cumnock,Molong tee,cumnock,molong
112,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,46416.02052,0.425634212,Parkes,Peak Hill,parkes,peak hill
113,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,20767.40095,0.194717835,Peak Hill,Tomingley,peak hill,tomingley
114,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,8747.270528,0.090080967,Parkes,Parkes Solar Farm,parkes,parkes
115,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,11563.50721,0.114903503,Parkes,Parkes Solar Farm (North),parkes,parkes
116,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,40579.82248,0.415851665,Parkes Solar farm,Trundle,parkes,trundle
117,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,1670.107653,0.015759592,"Parkes ","Parkes ",parkes,parkes
118,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3685.810993,0.033910899,Orange,Orange Industrial (West),orange,orange
119,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3906.527948,0.036101104,Orange,Orange Industrial (East),orange,orange
124,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,28605.05189,0.298081047,Panorama,Blayney,panorama,blayney
127,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,18257.84936,0.184910949,Panorama,Raglan,panorama,raglan
128,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,6064.830408,0.063105828,Russell St,Raglan,russell,raglan
129,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,9704.105,0.097500466,Panorama,Russell St,panorama,russell
130,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,42540.66609,0.411777145,Wallerawang,Oberon (South),wallerawang,oberon
132,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,884.18638,0.008945778,Forbes,forbes  (Northwest),forbes,forbes
133,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,842.142743,0.008612073,Forbes,forbes  (Southeast),forbes,forbes
134,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,36027.41199,0.37882708,Forbes,Jemalong (South),forbes,jemalong
135,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,41108.95405,0.426860216,Forbes,Jemalong (North),forbes,jemalong
136,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,62981.87535,0.631855245,Jemalong,Condobolin,jemalong,condobolin
140,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,56412.72203,0.583926057,Cowra,Grenfell,cowra,grenfell
142,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3561.499376,0.036579412,Cowra,Cowra East (South),cowra,cowra
143,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,3944.932331,0.03982423,Cowra,Cowra East,cowra,cowra
144,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,81959.80723,0.834471228,Young,Wyangala,young,wyangala
147,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,28083.47412,0.259816127,Murrumburrah,Young,murrumburrah,young
148,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,1550.146348,0.016519255,Murrumburrah,Murrumburrah  (North),murrumburrah,murrumburrah
149,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,1495.518403,0.015975879,Murrumburrah,Murrumburrah  (South),murrumburrah,murrumburrah
150,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,39216.36164,0.41866948,Murrumburrah,Boorowa,murrumburrah,boorowa
152,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,34076.24418,0.350061087,Murrumburrah,Cootamundra,murrumburrah,cootamundra
153,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,50070.59874,0.517787314,Junee,Cootamundra,junee,cootamundra
154,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,39005.20296,0.417145537,Junee,Coolamon,junee,coolamon
160,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,6129.407818,0.056657072,Junee,Junee Solar Farm,junee,junee
